reference,type,merged,len,text,note
누가복음 12:15b,교훈,·하반절,43,삼가 모든 탐심을 물리치라! 사람의 생명이 그 소유의 넉넉한데 있지 아니하니라,'사람의 생명이 그 소유의 넉넉한데 있지 아니하니라'
누가복음 12:21,교훈,,44,자기를 위하여 재물을 쌓아 두고 하나님께 대하여 부요치 못한 자가 이와 같으니라,
누가복음 12:32,위안,,46,적은 무리여 무서워 말라 너희 아버지께서 그 나라를 너희에게 주시기를 기뻐하시느니라,'적은 무리여 무서워 말라'
누가복음 14:10,교훈,,89,청함을 받았을 때에 차라리 가서 말석에 앉으라 그러면 너를 청한자가 와서 너더러 벗이여 올라 앉으라 하리니 그 때에야 함께 앉은 모든 사람 앞에 영광이 있으리라,'차라리 가서 말석에 앉으라'
누가복음 14:28,교훈,,68,너희 중에 누가 망대를 세우고자 할진대 자기의 가진 것이 준공하기까지에 족할는지 먼저 앉아 그 비용을 예산하지 아니하겠느냐,'먼저 앉아 그 비용을 예산하지 아니하겠느냐'
누가복음 15:7,위안,,73,내가 너희에게 이르노니 이와 같이 죄인 하나가 회개하면 하늘에서는 회개할 것 없는 의인 아흔 아홉을 인하여 기뻐하는 것보다 더하리라,'죄인 하나가 회개하면'
누가복음 15:32,위안,,53,이 네 동생은 죽었다가 살았으며 내가 잃었다가 얻었기로 우리가 즐거워하고 기뻐하는 것이 마땅하다,'죽었다가 살았으며 내가 잃었다가 얻었기로'
누가복음 16:10,교훈,,56,지극히 작은 것에 충성된 자는 큰 것에도 충성되고 지극히 작은 것에 불의한 자는 큰 것에도 불의하니라,'지극히 작은 것에 충성된 자는'
누가복음 17:3,교훈,,45,너희는 스스로 조심하라 만일 네 형제가 죄를 범하거든 경계하고 회개하거든 용서하라,
누가복음 17:10,교훈,,65,이와 같이 너희도 명령받은 것을 행한 후에 이르기를 우리는 무익한 종이라 우리의 하여야 할 일을 한 것뿐이라 할지니라,'우리는 무익한 종이라'
누가복음 17:21,교훈,,40,또 여기 있다 저기 있다고도 못하리니 하나님의 나라는 너희 안에 있느니라,
누가복음 18:1,교훈,,32,항상 기도하고 낙망치 말아야 될 것을 저희에게 비유로 하여,'항상 기도하고 낙망치 말아야'
누가복음 19:10,위안,,29,인자의 온 것은 잃어버린 자를 찾아 구원하려 함이니라,'잃어버린 자를 찾아 구원하려 함이니라'
누가복음 20:25b,교훈,·하반절,34,그런즉 가이사의 것은 가이사에게 하나님의 것은 하나님께 바치라,'가이사의 것은 가이사에게'
누가복음 21:19,교훈,,20,너희의 인내로 너희 영혼을 얻으리라!,'너희의 인내로 너희 영혼을 얻으리라'
누가복음 23:43b,위안,·하반절,35,내가 진실로 네게 이르노니 오늘 네가 나와 함께 낙원에 있으리라,'오늘 네가 나와 함께 낙원에 있으리라'
요한복음 7:24,교훈,,25,외모로 판단하지 말고 공의의 판단으로 판단하라,'외모로 판단하지 말고'
요한복음 8:32,교훈,,24,진리를 알지니 진리가 너희를 자유케 하리라!,합본 예상(8:31-32) '진리가 너희를 자유케 하리라'
요한복음 9:3b,위안,·하반절,54,이 사람이나 그 부모가 죄를 범한 것이 아니라 그에게서 하나님의 하시는 일을 나타내고자 하심이니라,'이 사람이나 그 부모가 죄를 범한 것이 아니라'
요한복음 9:4,교훈,,60,때가 아직 낮이매 나를 보내신 이의 일을 우리가 하여야 하리라 밤이 오리니 그 때는 아무도 일할 수 없느니라,'밤이 오리니 그 때는 아무도 일할 수 없느니라'
요한복음 12:24,교훈,,70,내가 진실로 진실로 너희에게 이르노니 한 알의 밀이 땅에 떨어져 죽지 아니하면 한 알 그대로 있고 죽으면 많은 열매를 맺느니라,'한 알의 밀이 땅에 떨어져 죽지 아니하면'
요한복음 13:14,교훈,,48,내가 주와 또는 선생이 되어 너희 발을 씻겼으니 너희도 서로 발을 씻기는 것이 옳으니라,
